Date,ON
2015-11-30,0.128
2015-12-01,0.1305
2015-12-02,0.1305
2015-12-03,0.1305
2015-12-04,0.1305
2015-12-05,
2015-12-06,
2015-12-07,0.13
2015-12-08,0.1295
2015-12-09,0.1295
2015-12-10,0.1315
2015-12-11,0.1335
2015-12-12,
2015-12-13,
2015-12-14,0.135
2015-12-15,0.1355
2015-12-16,0.1518
2015-12-17,0.3614
2015-12-18,0.3658
2015-12-19,
2015-12-20,
2015-12-21,0.3672
2015-12-22,0.3674
2015-12-23,0.3673
2015-12-24,0.3671
2015-12-25,
2015-12-26,
2015-12-27,
2015-12-28,
2015-12-29,0.366
2015-12-30,0.3661
2015-12-31,0.2745
2016-01-01,
2016-01-02,
2016-01-03,
2016-01-04,0.3658
2016-01-05,0.365
2016-01-06,0.3661
2016-01-07,0.3651
2016-01-08,0.3662
2016-01-09,
2016-01-10,
2016-01-11,0.3661
2016-01-12,0.3661
2016-01-13,0.3663
2016-01-14,0.3661
2016-01-15,0.3661
2016-01-16,
2016-01-17,
2016-01-18,0.3661
2016-01-19,0.366
2016-01-20,0.3655
2016-01-21,0.3658
2016-01-22,0.3659
2016-01-23,
2016-01-24,
2016-01-25,0.366
2016-01-26,0.3657
2016-01-27,0.3659
2016-01-28,0.3684
2016-01-29,0.3674
2016-01-30,
2016-01-31,
2016-02-01,0.366
2016-02-02,0.369
2016-02-03,0.3686
2016-02-04,0.3704
2016-02-05,0.37
2016-02-06,
2016-02-07,
2016-02-08,0.3763
2016-02-09,0.3771
2016-02-10,0.3731
2016-02-11,0.3715
2016-02-12,0.3708
2016-02-13,
2016-02-14,
2016-02-15,0.3708
2016-02-16,0.371
2016-02-17,0.37
2016-02-18,0.3714
2016-02-19,0.3709
2016-02-20,
2016-02-21,
2016-02-22,0.371
2016-02-23,0.371
2016-02-24,0.3715
2016-02-25,0.3743
2016-02-26,0.3745
2016-02-27,
2016-02-28,
2016-02-29,0.3715
2016-03-01,0.3679
2016-03-02,0.3715
2016-03-03,0.373
2016-03-04,0.372
2016-03-05,
2016-03-06,
2016-03-07,0.372
2016-03-08,0.372
2016-03-09,0.372
2016-03-10,0.3725
2016-03-11,0.3725
2016-03-12,
2016-03-13,
2016-03-14,0.3743
2016-03-15,0.3753
2016-03-16,0.3743
2016-03-17,0.3748
2016-03-18,0.3743
2016-03-19,
2016-03-20,
2016-03-21,0.3743
2016-03-22,0.3743
2016-03-23,0.3753
2016-03-24,0.3745
2016-03-25,
2016-03-26,
2016-03-27,
2016-03-28,
2016-03-29,0.3755
2016-03-30,0.3772
2016-03-31,0.3831
2016-04-01,0.3791
2016-04-02,
2016-04-03,
2016-04-04,0.3794
2016-04-05,0.3777
2016-04-06,0.3782
2016-04-07,0.3782
2016-04-08,0.3775
2016-04-09,
2016-04-10,
2016-04-11,0.3792
2016-04-12,0.3792
2016-04-13,0.3802
2016-04-14,0.3797
2016-04-15,0.3807
2016-04-16,
2016-04-17,
2016-04-18,0.3812
2016-04-19,0.3827
2016-04-20,0.3822
2016-04-21,0.3817
2016-04-22,0.3812
2016-04-23,
2016-04-24,
2016-04-25,0.3812
2016-04-26,0.3807
2016-04-27,0.3802
2016-04-28,0.3827
2016-04-29,0.3837
2016-04-30,
2016-05-01,
2016-05-02,
2016-05-03,0.3857
2016-05-04,0.3858
2016-05-05,0.385
