Date,Gold,,,,,
2016-03-23,1260.7,,,,,
2016-03-24,1259.1,,,,,
2016-03-25,1216.7,,,,,
2016-03-26,,,,,,
2016-03-27,,,,,,
2016-03-28,1257.4,,,,,
2016-03-29,1273,,,,,
2016-03-30,1263.6,,,,,
2016-03-31,1267.6,,,,,
2016-04-01,1255.6,,,,,
2016-04-02,,,,,,
2016-04-03,,,,,,
2016-04-04,1251.4,,,,,
2016-04-05,1261.2,,,,,
2016-04-06,1255.5,,,,,
2016-04-07,1269,,,,,
2016-04-08,1274,,,,,
2016-04-09,,,,,,
2016-04-10,,,,,,
2016-04-11,1289.1,,,,,
2016-04-12,1293.1,,,,,
2016-04-13,1280.6,,,,,
2016-04-14,1258.8,,,,,
2016-04-15,1266.4,,,,,
2016-04-16,,,,,,
2016-04-17,,,,,,
2016-04-18,1267,,,,,
2016-04-19,1287.5,,,,,
2016-04-20,1289,,,,,
2016-04-21,1286.2,,,,,
2016-04-22,1265.5,,,,,
2016-04-23,,,,,,
2016-04-24,,,,,,
2016-04-25,1275.8,,,,,
2016-04-26,1279.1,,,,,
2016-04-27,1286.5,,,,,
2016-04-28,1303.1,,,,,
2016-04-29,1327.7,,,,,
2016-04-30,,,,,,
2016-05-01,,,,,,
2016-05-02,1333.6,,,,,
2016-05-03,1329.1,,,,,
2016-05-04,1310.6,,,,,
2016-05-05,1307.1,,,,,
2016-05-06,1329.4,,,,,
2016-05-07,,,,,,
2016-05-08,,,,,,
2016-05-09,1302.2,,,,,
2016-05-10,1300.6,,,,,
2016-05-11,1311.9,,,,,
2016-05-12,1307,,,,,
2016-05-13,1308.8,,,,,
2016-05-14,,,,,,
2016-05-15,,,,,,
2016-05-16,1311.1,,,,,
2016-05-17,1314.2,,,,,
2016-05-18,1313.6,,,,,
2016-05-19,1295.2,,,,,
2016-05-20,1295.2,,,,,
2016-05-21,,,,,,
2016-05-22,,,,,,
2016-05-23,1294.2,,,,,
2016-05-24,1272,,,,,
2016-05-25,1266.7,,,,,
2016-05-26,1262.9,,,,,
2016-05-27,1256.9,,,,,
2016-05-28,,,,,,
2016-05-29,,,,,,
2016-05-30,1212.15,,,,,
2016-05-31,1258.6,,,,,
2016-06-01,1256.5,,,,,
2016-06-02,1254.2,,,,,
2016-06-03,1283.9,,,,,
2016-06-04,,,,,,
2016-06-05,,,,,,
2016-06-06,1288.7,,,,,
2016-06-07,1288.1,,,,,
2016-06-08,1303.3,,,,,
2016-06-09,1313.7,,,,,
2016-06-10,1317,,,,,
2016-06-11,,,,,,
2016-06-12,,,,,,
2016-06-13,1328.1,,,,,
2016-06-14,1325.6,,,,,
2016-06-15,1326,,,,,
2016-06-16,1336.6,,,,,
2016-06-17,1333.9,,,,,
2016-06-18,,,,,,
2016-06-19,,,,,,
2016-06-20,1333.8,,,,,
2016-06-21,1314.2,,,,,
2016-06-22,1311.7,,,,,
2016-06-23,1306.6,,,,,
2016-06-24,1365.7,,,,,
2016-06-25,,,,,,
2016-06-26,,,,,,
2016-06-27,1367.7,,,,,
2016-06-28,1361.1,,,,,
2016-06-29,1370.3,,,,,
2016-06-30,1363.9,,,,,
2016-07-01,1383.2,,,,,
2016-07-02,,,,,,
2016-07-03,1345.5,,,,,
2016-07-04,1352,,,,,
2016-07-05,1403.3,,,,,
2016-07-06,1411.7,,,,,
2016-07-07,1405.5,,,,,
2016-07-08,1402.5,,,,,
2016-07-09,,,,,,
2016-07-10,,,,,,
2016-07-11,1401.8,,,,,
2016-07-12,1381.2,,,,,
2016-07-13,1389.5,,,,,
2016-07-14,1378.2,,,,,
2016-07-15,1374,,,,,
2016-07-16,,,,,,
2016-07-17,,,,,,
2016-07-18,1375.9,,,,,
2016-07-19,1379.3,,,,,
2016-07-20,1366.7,,,,,
2016-07-21,1379.2,,,,,
2016-07-22,1372.5,,,,,
2016-07-23,,,,,,
2016-07-24,,,,,,
2016-07-25,1368.3,,,,,
2016-07-26,1369.6,,,,,
2016-07-27,1378.1,,,,,
2016-07-28,1384.9,,,,,
2016-07-29,1401.8,,,,,
2016-07-30,,,,,,
2016-07-31,,,,,,
2016-08-01,1402.3,,,,,
2016-08-02,1415.5,,,,,
2016-08-03,1410,,,,,
2016-08-04,1414,,,,,
2016-08-05,1394,,,,,
2016-08-06,,,,,,
2016-08-07,,,,,,
2016-08-08,1391.4,,,,,
2016-08-09,1396.7,,,,,
2016-08-10,1401.7,,,,,
2016-08-11,1400.1,,,,,
2016-08-12,1392.9,,,,,
2016-08-13,,,,,,
2016-08-14,,,,,,
2016-08-15,1396.7,,,,,
2016-08-16,1405.1,,,,,
2016-08-17,1396.7,,,,,
2016-08-18,1405.2,,,,,
2016-08-19,1394.1,,,,,
2016-08-20,,,,,,
2016-08-21,,,,,,
2016-08-22,1391.3,,,,,
2016-08-23,1393.9,,,,,
2016-08-24,1376.5,,,,,
2016-08-25,1370.1,,,,,
2016-08-26,1369.3,,,,,
2016-08-27,,,,,,
2016-08-28,,,,,,
2016-08-29,1370.5,,,,,
2016-08-30,1360.6,,,,,
2016-08-31,1354,,,,,
2016-09-01,1359,,,,,
2016-09-02,1371.7,,,,,
2016-09-03,,,,,,
2016-09-04,1326.25,,,,,
2016-09-05,1331.1,,,,,
2016-09-06,1397.5,,,,,
2016-09-07,1393.5,,,,,
2016-09-08,1386.6,,,,,
2016-09-09,1379.5,,,,,
2016-09-10,,,,,,
2016-09-11,,,,,,
2016-09-12,1370.8,,,,,
2016-09-13,1367.2,,,,,
2016-09-14,1369.7,,,,,
2016-09-15,1361.3,,,,,
2016-09-16,1353.5,,,,,
2016-09-17,,,,,,
2016-09-18,,,,,,
2016-09-19,1360.8,,,,,
2016-09-20,1361.3,,,,,
2016-09-21,1374.9,,,,,
2016-09-22,1386.7,,,,,
2016-09-23,1383.7,,,,,
2016-09-24,,,,,,
2016-09-25,,,,,,
2016-09-26,1386.6,,,,,
2016-09-27,1372.7,,,,,
2016-09-28,1365.6,,,,,
2016-09-29,1368,,,,,
2016-09-30,1359.3,,,,,
2016-10-01,,,,,,
2016-10-02,,,,,,
2016-10-03,1354.8,,,,,
2016-10-04,1311,,,,,
2016-10-05,1310.2,,,,,
2016-10-06,1294.4,,,,,
2016-10-07,1293.4,,,,,
2016-10-08,,,,,,
2016-10-09,,,,,,
2016-10-10,1302.8,,,,,
2016-10-11,1298.4,,,,,
2016-10-12,1296.6,,,,,
2016-10-13,1301.2,,,,,
2016-10-14,1299.3,,,,,
2016-10-15,,,,,,
2016-10-16,,,,,,
2016-10-17,1300.7,,,,,
2016-10-18,1307.5,,,,,
2016-10-19,1314.3,,,,,
2016-10-20,1312.6,,,,,
2016-10-21,1312.1,,,,,
2016-10-22,,,,,,
2016-10-23,,,,,,
2016-10-24,1306.3,,,,,
2016-10-25,1317.7,,,,,
2016-10-26,1310.7,,,,,
2016-10-27,1315.6,,,,,
2016-10-28,1322.7,,,,,
2016-10-29,,,,,,
2016-10-30,,,,,,
2016-10-31,1319.3,,,,,
2016-11-01,1334.4,,,,,
2016-11-02,1354.4,,,,,
2016-11-03,1350.2,,,,,
2016-11-04,1352.1,,,,,
2016-11-05,,,,,,
2016-11-06,,,,,,
2016-11-07,1326.8,,,,,
2016-11-08,1322.6,,,,,
2016-11-09,1322.1,,,,,
2016-11-10,1313,,,,,
2016-11-11,1269.1,,,,,
2016-11-12,,,,,,
2016-11-13,,,,,,
2016-11-14,1271.7,,,,,
2016-11-15,1275.7,,,,,
2016-11-16,1275.1,,,,,
2016-11-17,1268.6,,,,,
2016-11-18,1261.2,,,,,
2016-11-19,,,,,,
2016-11-20,,,,,,
2016-11-21,1261.6,,,,,
2016-11-22,1262.8,,,,,
2016-11-23,1241.7,,,,,
2016-11-24,1185.55,,,,,
2016-11-25,1230.3,,,,,
2016-11-26,,,,,,
2016-11-27,,,,,,
2016-11-28,1243.4,,,,,
2016-11-29,1240.3,,,,,
2016-11-30,1223.2,,,,,
2016-12-01,1218.5,,,,,
2016-12-02,1227.2,,,,,
2016-12-03,,,,,,
2016-12-04,,,,,,
2016-12-05,1226.5,,,,,
2016-12-06,1219.8,,,,,
2016-12-07,1231.4,,,,,
2016-12-08,1227.2,,,,,
2016-12-09,1216.8,,,,,
2016-12-10,,,,,,
2016-12-11,,,,,,
2016-12-12,1221.1,,,,,
2016-12-13,1214.4,,,,,
2016-12-14,1219.1,,,,,
2016-12-15,1190.8,,,,,
2016-12-16,1198.6,,,,,
2016-12-17,,,,,,
2016-12-18,,,,,,
2016-12-19,1203.6,,,,,
2016-12-20,1194.7,,,,,
2016-12-21,1194.2,,,,,
2016-12-22,1191.5,,,,,
2016-12-23,1194.5,,,,,
2016-12-24,,,,,,
2016-12-25,1135,,,,,
2016-12-26,1134.55,,,,,
2016-12-27,1199.6,,,,,
2016-12-28,1201.7,,,,,
2016-12-29,1218.9,,,,,
2016-12-30,1212.2,,,,,
2016-12-31,,,,,,
2017-01-01,,,,,,
2017-01-02,1151.05,,,,,
2017-01-03,1222.4,,,,,
2017-01-04,1224.8,,,,,
2017-01-05,1239.8,,,,,
2017-01-06,1233.4,,,,,
2017-01-07,,,,,,
2017-01-08,,,,,,
2017-01-09,1245.3,,,,,
2017-01-10,1246.2,,,,,
2017-01-11,1257.7,,,,,
2017-01-12,1261,,,,,
2017-01-13,1259,,,,,
2017-01-14,,,,,,
2017-01-15,1203.35,,,,,
2017-01-16,1202.85,,,,,
2017-01-17,1275.1,,,,,
2017-01-18,1273.4,,,,,
2017-01-19,1263.2,,,,,
2017-01-20,1266.9,,,,,
2017-01-21,,,,,,
2017-01-22,,,,,,
2017-01-23,1276.6,,,,,
2017-01-24,1271.8,,,,,
2017-01-25,1258.8,,,,,
2017-01-26,1250.6,,,,,
2017-01-27,1249.4,,,,,
2017-01-28,,,,,,
2017-01-29,,,,,,
2017-01-30,1254.1,,,,,
2017-01-31,1269.5,,,,,
2017-02-01,1267.2,,,,,
2017-02-02,1278.3,,,,,
2017-02-03,1279.9,,,,,
2017-02-04,,,,,,
2017-02-05,,,,,,
2017-02-06,1291,,,,,
2017-02-07,1294.1,,,,,
2017-02-08,1296,,,,,
2017-02-09,1293.1,,,,,
2017-02-10,1292.2,,,,,
2017-02-11,,,,,,
2017-02-12,,,,,,
2017-02-13,1282.6,,,,,
2017-02-14,1282.6,,,,,
2017-02-15,1291.9,,,,,
2017-02-16,1300.4,,,,,
2017-02-17,1297.1,,,,,
2017-02-18,,,,,,
